Datum;Riksbankscertifikat (mdkr);Reserver (mdkr);Räntefri inlåning (mdkr);Finjusterade transaktioner (mdkr)
2024-01-09;869.8;122.2;;
2024-01-16;886.95;105.0;;
2024-01-23;947.2;43.8;;
2024-01-30;852.35;138.6;;
2024-02-06;842.25;146.8;;
2024-02-13;802.5;186.5;;
2024-02-20;877.85;108.1;;
2024-02-27;791.15;175.9;;
2024-03-05;831.15;130.9;;
2024-03-12;837.101;120.9;;
2024-03-19;797.55;158.5;;
2024-03-26;755.2;199.8;;
2024-04-02;853.0;98.0;;
2024-04-09;820.3;131.7;;
2024-04-16;785.9;163.1;;
2024-04-23;789.1;156.9;;
2024-05-07;818.0;129.0;;
2024-05-14;771.35;172.6;;
2024-05-21;792.4;152.6;;
2024-05-28;798.95;151.0;;
2024-06-04;860.5;89.0;;
2024-06-11;790.95;149.0;;
2024-06-18;801.8;135.2;;
2024-06-25;748.6;183.4;;
2024-07-02;819.55;119.5;;
2024-07-09;828.4;106.6;;
2024-07-16;751.9;184.1;;
2024-07-23;843.45;97.5;;
2024-07-30;825.6;109.4;;
2024-08-06;774.1;162.9;;
2024-08-13;845.4;93.6;;
2024-08-20;779.7;162.3;;
2024-08-27;780.35;161.6;;
2024-09-03;861.7;79.3;;
2024-09-10;775.85;166.1;;
2024-09-17;769.45;124.5;;
2024-09-24;783.88;86.1;;
2024-10-01;766.45;79.5;;
2024-10-08;726.6;119.4;;
2024-10-15;795.0;49.0;;
2024-10-22;695.15;147.9;;
2024-10-29;794.35;47.6;;
2024-11-05;764.6;73.4;;
2024-11-12;770.15;64.9;;
2024-11-19;738.5;97.5;;
2024-11-26;682.66;135.3;;
2024-12-03;777.57;38.4;;
2024-12-10;655.9;156.1;;
2024-12-17;554.45;237.5;;
2025-01-07;647.75;142.2;;
2025-01-14;675.1;115.9;;
2025-01-21;650.4;139.6;;
2025-01-28;669.25;121.8;;
2025-02-04;646.45;140.5;;
2025-02-11;655.2;132.8;;
2025-02-18;660.25;125.8;;
2025-02-25;629.65;156.4;;
2025-03-04;675.3;105.7;;
2025-03-11;627.7;156.3;;
2025-03-18;718.7;63.3;;
2025-03-25;605.4;175.6;;
2025-04-01;629.15;146.9;;
2025-04-08;589.75;187.2;;
2025-04-15;631.85;143.1;;
2025-04-22;616.3;158.7;;
2025-04-29;663.25;111.8;;
2025-05-06;675.8;34.2;;
2025-05-13;609.15;97.9;;
2025-05-20;611.6;94.4;;
2025-05-27;592.9;95.1;;
2025-06-03;629.85;61.1;;
2025-06-10;557.75;117.2;;
2025-06-17;519.2;142.8;;
2025-06-24;553.45;104.5;;
2025-07-01;532.45;124.5;;
2025-07-08;514.4;142.6;;
2025-07-15;540.9;115.1;;
2025-07-22;541.45;116.5;;
2025-07-29;529.4;130.6;;
2025-08-05;546.1;114.9;;
2025-08-12;612.85;48.1;;
2025-08-19;540.1;120.9;;
2025-08-26;570.0;91.0;;
2025-09-02;502.6;137.4;;
2025-09-09;532.15;106.9;;
2025-09-16;413.1;198.9;;
2025-09-23;481.8;130.2;;
2025-09-30;460.4;149.6;;
2025-10-07;526.4;82.6;;
2025-10-14;428.9;137.1;40.055;
2025-10-21;476.9;89.1;40.055;
2025-11-04;408.4;157.6;40.055;
2025-11-11;363.35;198.6;40.055;
2025-11-18;430.7;131.3;40.055;
2025-11-25;427.05;132.0;40.055;
2025-12-02;416.0;140.0;40.055;
2025-12-09;479.4;73.6;40.055;
2025-12-16;382.0;155.0;40.055;
2026-01-05;451.4;86.6;40.055;
2026-01-13;453.6;84.4;40.055;
2026-01-20;503.4;35.6;40.055;
2026-01-27;470.2;67.8;40.055;
2026-02-03;416.6;104.4;40.055;
2026-02-10;458.3;62.7;40.055;
2026-02-17;358.6;162.4;40.055;
2026-02-24;398.7;123.3;40.055;
2026-03-03;370.9;150.1;40.055;
