Datum;Lån;Bid-to-cover;Budvolym (Mkr);Tilldelad volym (Mkr);Löptid (år)
2024-12-13;1061;3.79;6445;1700;4.91
2025-01-10;1053;3.36;3360;1000;14.22
2025-01-10;1061;3.56;6050;1700;4.13
2025-01-24;1060;1.62;2425;1500;3.3
2025-01-24;1062;2.6;3900;1500;6.3
2025-02-07;1061;17.67;1590;90;4.05
2025-02-07;1063;1.98;3960;2000;20.09
2025-02-21;1056;4.0;2800;700;7.28
2025-02-21;1060;4.14;4225;1020;3.22
2025-03-07;1053;4.8;4800;1000;14.06
2025-03-07;1056;3.03;1437;475;7.23
2025-03-07;1062;1.48;1150;775;6.18
2025-03-21;1060;1.0;1200;1200;3.14
2025-03-21;1062;2.06;3097;1500;6.14
2025-04-04;1053;3.27;4910;1500;13.99
2025-04-04;1060;5.07;7600;1500;3.11
2025-04-25;1060;2.41;3500;1450;3.05
2025-04-25;1062;3.0;3750;1250;6.05
2025-05-16;1060;1.63;1550;950;2.99
2025-05-16;1062;3.88;3875;1000;5.99
2025-05-16;1063;4.8;5035;1050;19.81
2025-05-30;1056;3.6;4325;1200;7.0
2025-05-30;1061;4.15;6225;1500;3.74
2025-06-17;1056;3.67;3670;1000;6.96
2025-06-17;1061;2.56;4350;1700;3.69
2025-06-27;1060;3.55;7100;2000;2.88
2025-06-27;1062;7.12;7125;1000;5.88
2025-09-05;1056;2.88;4325;1500;6.74
2025-09-05;1060;4.47;6700;1500;2.69
2025-09-19;1053;1.89;1320;700;14.24
2025-09-19;1061;1.8;1620;900;4.15
2025-10-03;1056;2.35;3525;1500;6.66
2025-10-03;1060;3.43;5150;1500;3.32
2025-10-17;1053;4.05;3140;775;14.16
2025-10-17;1061;2.06;3975;1925;4.07
2025-11-14;1060;2.63;3950;1500;3.21
2025-11-14;1062;3.18;4775;1500;6.21
2025-11-28;1061;1.69;3047;1800;3.96
2025-11-28;1062;3.08;2775;900;6.17
2025-12-12;1060;2.56;2050;800;3.13
2025-12-12;1061;3.68;8100;2200;3.92
2025-12-16;1061;4.33;1300;300;3.91
2025-12-16;1062;5.8;2321;400;6.12
