Anbudsdag;Instrument;Lån;ISIN;Kupong (%);Förfallodag;Erbjuden volym (Mkr);Budvolym (Mkr);Tilldelad volym (Mkr);Antal bud;Antal godkända bud;Genomsnittlig ränta (%);Lägsta ränta (%);Högst accepterade ränta (%);Tilldelning till högsta ränta (%)
2024-10-04;SGB;1059;SE0007125927;1.0;2026-11-12;2000 +/- 2000;5357;2000;8;3;1.702;1.694;1.704;92.94
2024-10-18;SGB;1056;SE0004517290;2.25;2032-06-01;1200 +/- 1200;2335;1200;15;11;1.934;1.918;1.942;55.0
2024-10-18;SGB;1061;SE0011281922;0.75;2029-11-12;1500 +/- 1500;2400;1500;9;6;1.837;1.83;1.843;50.0
2024-11-15;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;3620;1000;13;1;1.84;1.84;1.84;100.0
2024-11-15;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;3370;1000;12;3;1.98;1.979;1.98;94.06
2024-11-15;SGB;1063;SE0015193313;0.5;2045-11-24;1000 +/- 1000;4310;1000;27;15;2.316;2.27;2.328;49.23
2024-11-29;SGB;1053;SE0002829192;3.5;2039-03-30;1500 +/- 1500;4575;1500;32;10;2.171;2.162;2.173;70.91
2024-11-29;SGB;1061;SE0011281922;0.75;2029-11-12;1200 +/- 1200;5615;1200;33;10;1.77;1.768;1.772;87.78
2024-12-10;SGB;1056;SE0004517290;2.25;2032-06-01;1000 +/- 1000;3740;1370;14;7;1.953;1.947;1.957;60.0
2024-12-10;SGB;1059;SE0007125927;1.0;2026-11-12;1000 +/- 1000;575;575;4;4;1.808;1.803;1.813;100.0
2024-12-10;SGB;1063;SE0015193313;0.5;2045-11-24;1000 +/- 1000;2795;1000;29;16;2.288;2.27;2.299;88.33
2024-12-13;SGB;1053;SE0002829192;3.5;2039-03-30;1000 +/- 1000;4460;1000;33;17;2.302;2.294;2.308;50.79
2024-12-13;SGB;1061;SE0011281922;0.75;2029-11-12;1700 +/- 1700;6445;1700;19;1;1.917;1.917;1.917;100.0
2025-01-10;SGB;1053;SE0002829192;3.5;2039-03-30;1000 +/- 1000;3360;1000;25;7;2.595;2.587;2.599;40.0
2025-01-10;SGB;1061;SE0011281922;0.75;2029-11-12;1700 +/- 1700;6050;1700;17;1;2.143;2.143;2.143;100.0
2025-01-24;SGB;1060;SE0009496367;0.75;2028-05-12;1500 +/- 1500;2425;1500;14;9;2.073;2.054;2.084;60.0
2025-01-24;SGB;1062;SE0013935319;0.125;2031-05-12;1500 +/- 1500;3900;1500;20;11;2.197;2.186;2.204;60.0
2025-02-07;SGB;1061;SE0011281922;0.75;2029-11-12;2000 +/- 2000;1590;90;7;3;2.039;2.033;2.043;100.0
2025-02-07;SGB;1063;SE0015193313;0.5;2045-11-24;1000 +/- 1000;3960;2000;17;7;2.507;2.495;2.512;16.0
2025-02-21;SGB;1056;SE0004517290;2.25;2032-06-01;700 +/- 700;2800;700;15;6;2.255;2.25;2.26;100.0
2025-02-21;SGB;1060;SE0009496367;0.75;2028-05-12;2000 +/- 2000;4225;1020;14;2;2.074;2.074;2.075;100.0
2025-03-07;SGB;1053;SE0002829192;3.5;2039-03-30;1000 +/- 1000;4800;1000;19;1;2.738;2.738;2.738;100.0
2025-03-07;SGB;1056;SE0004517290;2.25;2032-06-01;1000 +/- 1000;1437;475;12;7;2.492;2.473;2.504;100.0
2025-03-07;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;1150;775;11;8;2.436;2.419;2.448;100.0
2025-03-21;SGB;1060;SE0009496367;0.75;2028-05-12;1400 +/- 1400;1200;1200;4;4;2.345;2.334;2.352;100.0
2025-03-21;SGB;1062;SE0013935319;0.125;2031-05-12;1300 +/- 1300;3097;1500;9;3;2.498;2.493;2.503;100.0
2025-04-04;SGB;1053;SE0002829192;3.5;2039-03-30;1500 +/- 1500;4910;1500;17;5;2.606;2.602;2.618;16.0
2025-04-04;SGB;1060;SE0009496367;0.75;2028-05-12;1500 +/- 1500;7600;1500;17;5;2.062;2.053;2.069;100.0
2025-04-25;SGB;1060;SE0009496367;0.75;2028-05-12;1500 +/- 1500;3500;1450;16;9;1.874;1.864;1.877;100.0
2025-04-25;SGB;1062;SE0013935319;0.125;2031-05-12;1200 +/- 1200;3750;1250;12;2;2.077;2.075;2.077;83.33
2025-05-16;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;1550;950;7;5;1.93;1.922;1.937;100.0
2025-05-16;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;3875;1000;16;5;2.118;2.114;2.119;66.67
2025-05-16;SGB;1063;SE0015193313;0.5;2045-11-24;1000 +/- 1000;5035;1050;30;7;2.586;2.578;2.589;39.58
2025-05-30;SGB;1056;SE0004517290;2.25;2032-06-01;1200 +/- 1200;4325;1200;15;3;2.143;2.14;2.145;100.0
2025-05-30;SGB;1061;SE0011281922;0.75;2029-11-12;1500 +/- 1500;6225;1500;15;1;1.977;1.977;1.977;100.0
2025-06-17;SGB;1056;SE0004517290;2.25;2032-06-01;1000 +/- 1000;3670;1000;12;4;2.149;2.147;2.149;81.2
2025-06-17;SGB;1061;SE0011281922;0.75;2029-11-12;1700 +/- 1700;4350;1700;17;10;1.974;1.97;1.979;83.33
2025-06-27;SGB;1060;SE0009496367;0.75;2028-05-12;2000 +/- 2000;7100;2000;15;7;1.739;1.736;1.742;80.0
2025-06-27;SGB;1062;SE0013935319;0.125;2031-05-12;1000 +/- 1000;7125;1000;27;4;1.969;1.967;1.969;86.67
2025-09-05;SGB;1056;SE0004517290;2.25;2032-06-01;1500 +/- 1500;4325;1500;15;4;2.248;2.245;2.248;92.5
2025-09-05;SGB;1060;SE0009496367;0.75;2028-05-12;1500 +/- 1500;6700;1500;12;1;1.849;1.849;1.849;100.0
2025-09-19;SGB;1053;SE0002829192;3.5;2039-03-30;700 +/- 700;1320;700;12;8;2.81;2.8;2.815;40.0
2025-09-19;SGB;1061;SE0011281922;0.75;2029-11-12;2000 +/- 2000;1620;900;9;4;2.063;2.05;2.068;100.0
2025-10-03;SGB;1056;SE0004517290;2.25;2032-06-01;1500 +/- 1500;3525;1500;15;10;2.338;2.328;2.344;15.0
2025-10-03;SGB;1060;SE0009496367;0.75;2028-05-12;1500 +/- 1500;5150;1500;15;3;1.905;1.904;1.905;83.33
2025-10-17;SGB;1053;SE0002829192;3.5;2039-03-30;700 +/- 700;3140;775;15;2;2.627;2.627;2.629;10.71
2025-10-17;SGB;1061;SE0011281922;0.75;2029-11-12;2000 +/- 2000;3975;1925;16;8;1.918;1.903;1.925;100.0
2025-11-14;SGB;1060;SE0009496367;0.75;2028-05-12;1500 +/- 1500;3950;1500;8;2;2.021;2.017;2.023;66.67
2025-11-14;SGB;1062;SE0013935319;0.125;2031-05-12;1500 +/- 1500;4775;1500;17;12;2.35;2.344;2.355;15.0
2025-11-28;SGB;1061;SE0011281922;0.75;2029-11-12;1800 +/- 1800;3047;1800;13;10;2.215;2.202;2.219;93.75
2025-11-28;SGB;1062;SE0013935319;0.125;2031-05-12;900 +/- 900;2775;900;11;4;2.349;2.342;2.35;80.56
2025-12-12;SGB;1060;SE0009496367;0.75;2028-05-12;800 +/- 800;2050;800;4;3;2.196;2.189;2.204;43.75
2025-12-12;SGB;1061;SE0011281922;0.75;2029-11-12;2200 +/- 2200;8100;2200;17;2;2.364;2.36;2.364;90.91
2025-12-16;SGB;1061;SE0011281922;0.75;2029-11-12;300 +/- 300;1300;300;5;1;2.324;2.324;2.324;100.0
2025-12-16;SGB;1062;SE0013935319;0.125;2031-05-12;400 +/- 400;2321;400;7;1;2.463;2.463;2.463;100.0
